date_period,cashless_vol_mln_uah,cash_vol_mln_uah,total_vol_mln_uah,cashless_cnt_mln,cash_cnt_mln,total_cnt_mln,cashless_ratio_pct,avg_ticket_uah
2020-02-01,168287.61,139749.41,308037.02,400.698412,69.874523,470.572935,85.1512,654.6
2020-03-01,176088.1,146902.84,322990.94,402.130139,66.106234,468.236373,85.8819,689.8
2020-04-01,154082.06,119498.13,273580.18,361.029229,53.556746,414.585975,87.0819,659.89
2020-05-01,157367.88,126241.07,283608.95,395.474537,60.004169,455.478706,86.8261,622.66
2020-06-01,168392.0,138327.32,306719.33,420.879621,66.607717,487.487338,86.3365,629.18
2020-07-01,186092.220156,155559.57228673,341651.79244273,448.017249,69.813739,517.830988,86.518,659.77
2020-08-01,188381.51,148799.58,337181.09,453.71301,67.344421,521.057531,87.0754,647.11
2020-09-01,192738.9,151918.35,344657.25,462.080326,66.342429,528.422755,87.4452,652.24
2020-10-01,201226.83,155881.4,357108.23,481.920583,67.448446,549.369029,87.7226,650.03
2020-11-01,208437.32,151182.77,359620.09,476.257141,62.661659,538.9188,88.3727,667.3
2020-12-01,248986.45,183691.82,432678.27,528.567499,70.061768,598.629267,88.2963,722.78
2021-01-01,201576.9,126943.38,328520.28,466.481367,53.929944,520.411311,89.6371,631.27
2021-02-01,220650.69,140855.48,361506.17,493.309337,58.587855,551.897192,89.3843,655.02
2021-03-01,242034.86,157016.12,399050.98,553.032978,65.690564,618.723542,89.3829,644.96
2021-04-01,239470.53,163508.57,402979.1,539.322765,65.669716,604.992481,89.1454,666.09
2021-05-01,242357.37,154299.53,396656.9,574.287653,66.301724,640.589377,89.6499,619.21
2021-06-01,252086.16,165135.67,417221.82,593.531096,68.187551,661.718647,89.6954,630.51
2021-07-01,262029.15,175548.7,437577.85,614.173273,68.800468,682.973741,89.9263,640.69
2021-08-01,267859.66,172990.91,440850.57,617.594368,66.777409,684.371777,90.2425,644.17
2021-09-01,273052.18,173817.61,446869.79,623.786485,65.831715,689.6182,90.4539,648.0
2021-10-01,278223.15,175763.41,453986.56,637.81992,65.785228,703.605148,90.6503,645.23
2021-11-01,286518.25,176870.31,463388.56,625.158542,62.362008,687.52055,90.9294,674.0
2021-12-01,333258.82113883,209861.14421014,543119.96534897,701.374129,69.264957,770.639086,91.012,704.77
2022-01-01,276173.73,160094.74,436268.47,601.56589,57.811356,659.377246,91.2324,661.64
2022-05-01,394982.9,178649.85,573632.75,588.008417,48.968003,636.97642,92.3124,900.56
2022-06-01,392264.11,180491.27,572755.38,617.152397,50.789365,667.941762,92.3961,857.49
2022-07-01,404667.56645889004,191992.99804742,596660.5645063099,655.15668,52.537341,707.694021,92.5763,843.11
2022-08-01,422265.63362871,195238.25119879,617503.8848275,670.626794,50.659936,721.28673,92.9764,856.11
2022-09-01,457921.88822267,214699.77091516,672621.6591378299,672.086472,51.231667,723.318139,92.9171,929.91
2022-10-01,426171.40969704,199845.81811636,626017.2278134,677.795074,50.26936,728.064434,93.0955,859.84
2022-11-01,447964.94746746,214914.11204373,662879.05951119,643.136381,49.692188,692.828569,92.8276,956.77
2022-12-01,497705.70597248,238407.00795377,736112.71392625,670.413293,50.647157,721.06045,92.976,1020.88
2023-01-01,418498.94065934,186480.13377385002,604979.0744331899,628.721197,40.956139,669.677336,93.8842,903.39
2023-02-01,413287.66502746,187445.32346585,600732.98849331,633.525835,41.7638,675.289635,93.8154,889.59
2023-03-01,448510.553262,190834.33987609,639344.8931380899,729.229212,44.950249,774.179461,94.1938,825.84
2023-04-01,265855.96339468,158784.42273465,424640.38612933,534.918677,42.181573,577.10025,92.6908,735.82
2023-05-01,284100.91434831,173073.15622732998,457174.07057564,590.910866,45.489242,636.400108,92.8521,718.38
2023-06-01,279565.33073876,173534.19733792002,453099.52807667997,584.803681,44.642185,629.445866,92.9077,719.84
2023-07-01,291965.06045689003,169754.61777653,461719.67823342,607.659304,42.888224,650.547528,93.4074,709.74
2023-08-01,299283.06328253995,173288.81716433,472571.88044687,619.634412,42.734948,662.36936,93.5482,713.46
2023-09-01,299519.2993979,173225.43295611,472744.73235401,617.329635,42.278983,659.608618,93.5903,716.7
2023-10-01,309808.08992973,178090.20954472,487898.29947445,620.270683,42.074385,662.345068,93.6477,736.62
2023-11-01,317164.60161752003,174767.64790679002,491932.24952431,603.56009,39.761413,643.321503,93.8194,764.68
2023-12-01,352435.7383344,221481.74527860997,573917.48361301,626.67961,45.571993,672.251603,93.221,853.72
2024-01-01,304270.3372542701,166732.90514067002,471003.24239494005,577.476665,35.04155,612.518215,94.2791,768.96
2024-02-01,310448.75379,174971.22403061,485419.97782061,594.938733,37.483568,632.422301,94.073,767.56
2024-03-01,346151.61679764,187164.24367596,533315.8604736,665.194759,40.824838,706.019597,94.2176,755.38
2024-04-01,336223.77066509,186321.6263831,522545.39704819,667.148528,40.182575,707.331103,94.3191,738.76
2024-05-01,347885.19937579,196186.14246262,544071.34183841,699.365704,41.933971,741.299675,94.3432,733.94
2024-06-01,350524.63443741,186247.69622332,536772.33066073,683.721796,39.764421,723.486217,94.5038,741.92
2024-07-01,372052.35950326,199610.79624327,571663.15574653,714.165722,40.208998,754.37472,94.6699,757.8
2024-08-01,373420.57389416,195234.10078181,568654.67467597,723.16318,39.180353,762.343533,94.8605,745.93
2024-09-01,364451.86193459004,193406.84761415,557858.70954874,714.672292,38.077562,752.749854,94.9415,741.09
2024-10-01,369931.08688758,212347.69464518,582278.78153276,726.6415,39.340025,765.981525,94.8641,760.17
2024-11-01,364784.45430171,204092.10366616,568876.55796787,688.264766,37.329351,725.594117,94.8553,784.01
2024-12-01,403320.89967296005,231653.77627317002,634974.67594613,730.079363,40.254229,770.333592,94.7744,824.29
2025-01-01,351328.62897621,183588.5529299,534917.18190611,683.72794,33.927111,717.655051,95.2725,745.37
2025-02-01,338780.21974035,183671.37205456,522451.59179490997,647.27432,32.994283,680.268603,95.1498,768.01
2025-03-01,383390.38376081,205769.60918233,589159.99294314,755.385332,38.013709,793.399041,95.2088,742.58
2025-04-01,368977.27797924,197951.62718641,566928.9051656501,737.23069,36.655786,773.886476,95.2634,732.57
2025-05-01,391380.05704381,208351.00786157002,599731.06490538,784.101022,38.376535,822.477557,95.334,729.18
2025-06-01,384510.1708685,202008.30596679,586518.4768352901,771.749415,36.743164,808.492579,95.4553,725.45
2025-07-01,399072.18334123,205706.05647122,604778.2398124499,791.440219,36.113125,827.553344,95.6362,730.8
2025-08-01,404022.92835281,209980.57042498002,614003.49877779,794.603673,36.144354,830.748027,95.6492,739.1
2025-09-01,392764.43292265997,206349.56484973998,599113.9977724,780.215475,34.675588,814.891063,95.7448,735.21
2025-10-01,409794.81604316,220756.637232,630551.45327516,779.156065,35.604312,814.760377,95.6301,773.91
2025-11-01,406144.68795547995,211616.09669487,617760.78465035,752.915326,33.786652,786.701978,95.7053,785.25
2025-12-01,454143.29029978,237121.11879975,691264.4090995301,805.7381,35.710702,841.448802,95.756,821.52